peak_id,peak_name,host_contries,height_m,height_ft,location,region,climb_status,is_open,is_unlisted,is_trekking,trek_year,first_asc_yr,first_asc_season,first_asc_date,countries,first_summiters,Lat,Long
AGLE,Agole East,Nepal only,6675,21900,Rolwaling,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.51,86.33
AMAD,Ama Dablam,Nepal only,6814,22356,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1961,Spring,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",27.5136,86.5136
AMPH,Amphu I,Nepal only,6740,22113,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2013,Autumn,Oct 09,S Korea,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon",27.5136,86.57
ANID,Anidesh Chuli,Nepal only,6808,22336,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.42,88.0412
ANN1,Annapurna I,Nepal only,8091,26545,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1950,Spring,Jun 03,France,"Maurice Herzog, Louis Lachenal",28.3524,83.4912
ANN2,Annapurna II,Nepal only,7937,26040,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1960,Spring,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",28.3148,84.0712
ANN3,Annapurna III,Nepal only,7555,24787,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1961,Spring,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",28.3448,83.5924
ANN4,Annapurna IV,Nepal only,7525,24688,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1955,Spring,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",28.3148,84.0448
ANNE,Annapurna I East,Nepal only,8026,26332,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1974,Spring,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",28.3524,83.4912
ANNM,Annapurna I Middle,Nepal only,8051,26414,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1980,Autumn,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",28.3524,83.4948
ANNS,Annapurna South,Nepal only,7219,23684,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1964,Autumn,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",28.3036,83.48
APIM,Api Main,Nepal only,7132,23399,Api/Byas Risi/Guras,Far West-Kanjiroba,Climbed,1,0,0,0,1960,Spring,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",30.0,80.5548
APIW,Api West,Nepal only,7076,23215,Api/Byas Risi/Guras,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,30.0,80.5548
BARU,Baruntse,Nepal only,7152,23465,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1954,Spring,May 29,New Zealand,"Colin Todd, Geoff Harrow",27.5212,86.5848
BAUD,Baudha,Nepal only,6672,21890,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1970,Spring,May 02,Japan,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",28.2212,84.4012
BOBA,Bobaye,Nepal only,6808,22336,Api/Byas Risi/Guras,Far West-Kanjiroba,Climbed,1,0,0,0,1996,Autumn,Nov 02,Slovenia,Tomaz Humar,29.57,81.0
BTAK,Bhairab Takura,Nepal & China,6799,22306,Jugal,Langtang-Jugal,Climbed,1,0,0,0,1960,Spring,May 07,"Japan, Nepal","Kunitoshi Ishihara, Yukihito Kato, Pasang Phutar Sherpa (I)",28.1124,85.48
CHAB,Chabuk,Nepal & China,6792,22283,Janak/Ohmi Kangri,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.5248,87.5924
CHAG,Chago,Nepal & China,6893,22615,Makalu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1954,Spring,May 29,"New Zealand, Nepal","Michael Ball, Urkien Sherpa",27.5512,87.03
CHAK,Chako,Nepal only,6704,21995,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2007,Summer,Jul 24,"Japan, Nepal","Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",28.5248,84.1648
CHAM,Chamlang,Nepal only,7321,24019,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1962,Spring,May 31,"Japan, Nepal","So Anma, Pasang Phutar Sherpa (I)",27.4612,86.5848
CHEO,Cheo Himal,Nepal & China,6820,22375,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1991,Autumn,Oct 13,"Japan, Nepal","Dambar Bahadur Gurung, Shigeki Imoto, Ful Bahadur Rai, Pasang Tshering Sherpa",28.4536,84.27
CHIV,Chhiv Himal,Nepal only,6650,21818,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2004,Autumn,Sep 18,Japan,"Takeshi Wada, Mitsuhiro Koseki, Yubo Shibata, Takeo Yoshinaga",28.0,84.0
CHMN,Chamar North,Nepal only,7165,23507,Ganesh/Shringi,Manaslu-Ganesh,Climbed,1,0,0,0,1953,Spring,Jun 05,"New Zealand, Nepal","Maurice Bishop, Nyamgel Sherpa",28.33,84.5624
CHMR,Chamar,Nepal only,7161,23494,Ganesh/Shringi,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,28.3224,84.5624
