peak_id,peak_name,name,date,time,citizenship,gender,age,is_o2_used,died_on_descent,host_country,year,season
ACHN,Aichyn,Kaya Ko,Sep 03,13:15,Japan,F,23,No,.,Nepal,2015,Aut
ACHN,Aichyn,Yuma Ono,Sep 03,13:15,Japan,M,19,No,.,Nepal,2015,Aut
ACHN,Aichyn,Shintaro Saito,Sep 03,13:15,Japan,M,25,No,.,Nepal,2015,Aut
ACHN,Aichyn,Hiroki (Yuki) Senda,Sep 03,13:15,Japan,M,23,No,.,Nepal,2015,Aut
ACHN,Aichyn,Yuto Tamaki,Sep 03,13:15,Japan,M,22,No,.,Nepal,2015,Aut
ACHN,Aichyn,"Rajan Lama Bhote (Hatiya-1, Makalu-Barun)",Sep 25,13:30,Nepal,M,28,No,.,Nepal,2015,Aut
ACHN,Aichyn,Jean-Paul Emole Gabriel Charpentier,Sep 25,13:30,France,M,60,No,.,Nepal,2015,Aut
ACHN,Aichyn,Pierre Robert Roger Derieux,Sep 25,13:30,France,M,50,No,.,Nepal,2015,Aut
ACHN,Aichyn,Paul Marc (Paulo) Grobel,Sep 25,13:30,France,M,58,No,.,Nepal,2015,Aut
ACHN,Aichyn,Dhan Bahadur Magar,Sep 25,13:30,Nepal,M,29,No,.,Nepal,2015,Aut
ACHN,Aichyn,Hughes Alain Jacques Marie Riverieulx de Varax,Sep 25,13:30,France,M,56,No,.,Nepal,2015,Aut
AMAD,Ama Dablam,Barry Chapman Bishop,Mar 13,14:00,USA,M,29,No,.,Nepal,1961,Spr
AMAD,Ama Dablam,Michael Bedford Gill,Mar 13,14:00,New Zealand,M,23,No,.,Nepal,1961,Spr
AMAD,Ama Dablam,Walter S. (Wally) Romanes,Mar 13,14:00,New Zealand,M,29,No,.,Nepal,1961,Spr
AMAD,Ama Dablam,Michael Phelps Ward,Mar 13,14:00,UK,M,35,No,.,Nepal,1961,Spr
AMAD,Ama Dablam,Jan Anders Martin Boysen,Apr 22,17:00,W Germany,M,37,No,.,Nepal,1979,Spr
AMAD,Ama Dablam,David Finlay Breashears,Apr 22,17:00,USA,M,23,No,.,Nepal,1979,Spr
