peak_id,peak_name,host_contries,height_m,height_ft,location,region,climb_status,is_open,is_unlisted,is_trekking,trek_year,first_asc_yr,first_asc_season,first_asc_date,countries,first_summiters,Lat,Long
AGLE,Agole East,Nepal only,6675,21900,Rolwaling,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.51,86.33
ANID,Anidesh Chuli,Nepal only,6808,22336,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.42,88.0412
APIW,Api West,Nepal only,7076,23215,Api/Byas Risi/Guras,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,30.0,80.5548
CHAB,Chabuk,Nepal & China,6792,22283,Janak/Ohmi Kangri,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.5248,87.5924
CHMR,Chamar,Nepal only,7161,23494,Ganesh/Shringi,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,28.3224,84.5624
CHUM,Chumbu,Nepal only,6859,22503,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,28.0036,86.4648
DROM,Drohmo,Nepal only,6881,22575,Jongsang,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Main summit unclimbed,27.4912,88.06
FIRN,Firnkopf,Nepal only,6730,22080,Saipal,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,29.54,81.27
GANW,Gangapurna West,Nepal only,7140,23425,Annapurna,Annapurna-Damodar-Peri,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?,28.3748,83.57
HNKU,Hongku Chuli,Nepal only,6833,22418,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,27.4836,87.0036
HUGO,Hulang Go,Nepal & India,6687,21939,Peri,Annapurna-Damodar-Peri,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed,28.5212,84.2024
JANE,Jannu East,Nepal only,7460,24475,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unknown,27.4048,88.0224
